Unnamed: 0,date,precipitation,relhummax,relhummin,relative_humidity,solar_radiation,tmin,tmax,air_temp,gdd,cgdd,plant,year,location,Env_Abbr
0,2022-04-25,0.0,100.0,63.1,81.6,49.400000000000000,-18.85000000000000,-7.549999999999950,-13.20000000000000,0.0,0.0,Spring wheat,2022,Pullman(SAT),22PULSATS
1,2022-04-26,0.0,100.0,63.6,81.8,57.3,-8.849999999999970,-1.0499999999999500,-4.94999999999996,0.0,0.0,Spring wheat,2022,Pullman(SAT),22PULSATS
2,2022-04-27,3.1,100.0,78.4,89.2,42.0,-3.849999999999970,1.650000000000030,-1.099999999999970,0.0,0.0,Spring wheat,2022,Pullman(SAT),22PULSATS
3,2022-04-28,5.7,100.0,87.10000000000000,93.55,36.6,-6.25,-0.75,-3.5,0.0,0.0,Spring wheat,2022,Pullman(SAT),22PULSATS
4,2022-04-29,13.5,100.0,89.5,94.8,51.2,-6.0499999999999500,-1.349999999999970,-3.69999999999996,0.0,0.0,Spring wheat,2022,Pullman(SAT),22PULSATS
5,2022-04-30,18.0,100.0,74.3,87.2,32.300000000000000,-3.849999999999970,1.8500000000000200,-0.9999999999999720,0.0,0.0,Spring wheat,2022,Pullman(SAT),22PULSATS
6,2022-05-01,3.3000000000000000,100.0,75.8,87.9,41.0,-2.5499999999999500,4.050000000000010,0.7500000000000280,0.7500000000000280,0.7500000000000280,Spring wheat,2022,Pullman(SAT),22PULSATS
7,2022-05-02,0.0,100.0,66.8,83.4,38.400000000000000,-5.449999999999990,1.5500000000000100,-1.9499999999999900,0.0,0.7500000000000280,Spring wheat,2022,Pullman(SAT),22PULSATS
8,2022-05-03,0.0,100.0,49.0,74.5,68.5,-7.75,3.050000000000010,-2.3499999999999900,0.0,0.7500000000000280,Spring wheat,2022,Pullman(SAT),22PULSATS
9,2022-05-04,0.0,83.4,48.900000000000000,66.15,66.7,-5.649999999999980,2.550000000000010,-1.549999999999980,0.0,0.7500000000000280,Spring wheat,2022,Pullman(SAT),22PULSATS
10,2022-05-05,1.2000000000000000,93.0,59.6,76.3,29.9,-1.6499999999999800,5.650000000000030,2.0000000000000300,2.0000000000000300,2.750000000000060,Spring wheat,2022,Pullman(SAT),22PULSATS
11,2022-05-06,1.0,86.4,62.900000000000000,74.65,39.1,0.8500000000000230,6.4500000000000500,3.650000000000030,3.650000000000030,6.400000000000090,Spring wheat,2022,Pullman(SAT),22PULSATS
12,2022-05-07,0.0,81.80000000000000,54.5,68.15,40.0,-0.6499999999999770,6.050000000000010,2.700000000000020,2.700000000000020,9.100000000000110,Spring wheat,2022,Pullman(SAT),22PULSATS
13,2022-05-08,0.0,82.5,54.2,68.4,65.8,-0.8499999999999660,6.050000000000010,2.6000000000000200,2.6000000000000200,11.70000000000010,Spring wheat,2022,Pullman(SAT),22PULSATS
14,2022-05-09,0.0,80.30000000000000,58.3,69.3,57.900000000000000,-1.849999999999970,3.650000000000030,0.9000000000000340,0.9000000000000340,12.600000000000200,Spring wheat,2022,Pullman(SAT),22PULSATS
15,2022-05-10,0.0,80.30000000000000,58.3,69.3,62.3,-1.849999999999970,3.650000000000030,0.9000000000000340,0.9000000000000340,13.5000000000002,Spring wheat,2022,Pullman(SAT),22PULSATS
16,2022-05-11,0.0,84.5,55.0,69.8,59.3,-1.5499999999999500,5.4500000000000500,1.9500000000000500,1.9500000000000500,15.450000000000200,Spring wheat,2022,Pullman(SAT),22PULSATS
17,2022-05-12,0.9,86.30000000000000,71.60000000000000,78.95000000000000,29.5,-0.1499999999999770,3.650000000000030,1.7500000000000300,1.7500000000000300,17.200000000000300,Spring wheat,2022,Pullman(SAT),22PULSATS
18,2022-05-13,6.7,88.10000000000000,64.2,76.15,34.2,0.3500000000000230,5.9500000000000500,3.150000000000030,3.150000000000030,20.350000000000300,Spring wheat,2022,Pullman(SAT),22PULSATS
19,2022-05-14,6.9,98.0,62.400000000000000,80.2,36.9,-0.3499999999999660,7.150000000000030,3.400000000000030,3.400000000000030,23.75000000000030,Spring wheat,2022,Pullman(SAT),22PULSATS
20,2022-05-15,0.0,94.9,60.3,77.6,67.0,-2.349999999999970,5.050000000000010,1.3500000000000200,1.3500000000000200,25.100000000000400,Spring wheat,2022,Pullman(SAT),22PULSATS
21,2022-05-16,0.0,95.8,54.7,75.3,75.60000000000000,-3.75,5.050000000000010,0.6500000000000060,0.6500000000000060,25.75000000000040,Spring wheat,2022,Pullman(SAT),22PULSATS
22,2022-05-17,0.0,74.4,50.1,62.3,81.5,-2.5499999999999500,3.850000000000020,0.6500000000000340,0.6500000000000340,26.400000000000400,Spring wheat,2022,Pullman(SAT),22PULSATS
23,2022-05-18,0.0,91.2,74.3,82.8,51.3,-4.649999999999980,-0.6499999999999770,-2.6499999999999800,0.0,26.400000000000400,Spring wheat,2022,Pullman(SAT),22PULSATS
24,2022-05-19,0.0,87.7,60.3,74.0,81.10000000000000,-4.5499999999999500,1.650000000000030,-1.4499999999999600,0.0,26.400000000000400,Spring wheat,2022,Pullman(SAT),22PULSATS
